No,Journal,n,cites,h5,h5med,IF,IF5,IM,JCI,CS,SNIP,SJR,conserv,ecol,inv,review,bes,marfreshw,mysamp,hlth,gen,genet,palaeo,energ,sust,claire,poach,poach2,oa
65,FISH RES,316,12608,40,50,2.815,2.884,0.731,0.96,4.5,1.247,0.791,,,,,,1,1,,,,,,,,,,
66,FISHERIES,39,3028,24,34,3.539,3.649,0.487,0.86,3,1.08,0.61,,,,,,1,1,,,,,,,,,,
67,FOR ECOL MANAG,1126,49599,64,82,4.384,4.584,1.194,1.53,6.2,1.504,1.107,,1,,,,,,,,,,,,,,,
68,FORESTS,1761,16362,50,65,3.282,3.292,0.655,1.11,4,1.13,0.623,,1,,,,,,,,,,,,,,,1
69,FRESHW BIOL,159,17200,42,58,3.538,4.061,0.692,1.05,6.3,1.394,1.199,,,,,,1,,,,,,,,,,,
70,FRONT ECOL ENVIRON,68,15209,65,89,13.78,15.827,2.412,1.85,15.6,3.005,3.185,1,1,,1,,,,,,,,,1,,1,1,
71,FRONT ECOL EVOL,920,7755,52,64,4.493,4.648,0.636,0.81,4.2,1.344,1.301,,1,,,,,,,,,,,,,,,1
72,FRONT MAR SCI,1931,20261,82,115,5.247,5.72,0.768,1.05,5.2,1.435,1.355,,,,,,1,,,,,,,,,,,1
73,FUNCT ECOL,226,22359,60,80,6.282,6.607,0.982,1.32,9.5,1.895,2.03,,1,,,1,,,,,,,,,,,,
74,GLOBAL CHANGE BIOL,497,66410,118,165,13.211,13.111,1.835,2.44,17.9,3.032,3.685,,1,,,,,,,,,1,,1,,,,
75,GLOBAL ECOL BIOGEOGR,184,17986,60,82,6.909,8.026,1.125,1.80,11,2.326,2.716,,1,,,,,,,,,1,,,,,,
76,GLOBAL PLANET CHANGE,254,15026,51,74,4.956,5.869,0.898,1.3,7.9,1.542,1.371,,,,,,,,,,,,,1,,,,
77,HUM REPROD,278,40879,78,102,6.353,7.736,2.004,2.22,10,2.161,1.993,,,,,,,,1,,,,,,1,,,
78,HYDROBIOLOGIA,305,30017,44,64,2.822,2.92,0.702,0.92,5.7,1.11,0.791,,1,,,,1,1,,,,,,,,,,
79,IBIS,113,5673,25,34,2.351,2.41,0.389,1.68,4.1,1.093,0.804,,1,,,,,,,,,,,,,,,
80,ICES J MAR SCI,308,15480,47,74,3.906,4.198,1.11,1.22,5.7,1.208,0.932,,,,,,1,1,,,,,,,,,,
81,INSECT CONSERV DIV,80,1981,27,46,4.266,3.585,1.175,1.36,6.2,1.398,1.182,1,,,,,,,,,,,,,,,,
82,PERSPECT SEX REPROD HEALTH,5,1676,21,36,5.706,5.99,0.8,1.24,2.4,1.013,0.492,,,,,,,,1,,,,,,1,,,
83,INTL J SEX HEALTH,59,837,20,34,2.152,2.194,0.593,0.65,2.4,1.028,0.59,,,,,,,,1,,,,,,1,,,
84,iSCIENCE,1488,13293,57,75,6.107,6.233,1.349,1.03,5.7,1.128,1.592,,,,,,,,,1,,,,,,,,1
85,J ANIM ECOL,224,21334,55,69,5.606,5.655,1.214,2.04,7.8,1.774,1.969,,1,,,1,,,,,,,,,,,,
86,J APPL ECOL,270,28723,75,107,6.865,7.82,1.037,1.52,10.7,2.12,2.08,1,1,,,1,,1,,,,,,1,,,,
87,J BIOGEOGR,194,19870,47,64,4.81,4.752,0.845,1.16,7.3,1.522,1.607,,1,,,,,,,,,1,,,,,,
88,J ECOL,241,26651,61,89,6.381,7.164,1.568,1.60,9.9,2.15,2.193,,1,,,1,,,,,,,,,,,,
89,J EXP BIOL,451,42869,58,85,3.308,3.879,1.12,0.83,5.7,1.237,1.159,,1,,,,,,,,,,,,,,,
90,J EXP MAR BIOL ECOL,109,17743,31,37,2.476,2.837,0.422,0.74,4.2,0.845,0.691,,1,,,,1,1,,,,,,,,,,
91,J GLOB HEALTH,163,4452,52,80,7.664,7.127,1.411,1.11,5.1,1.716,1.349,,,,,,,,1,,,,,,1,,,1
92,J INSECT CONSERV,79,3008,27,35,2.62,2.367,0.456,0.82,3.9,1.076,0.711,1,,,,,,,,,,,,,,,,
93,J NAT CONSERV,123,2646,29,39,2.575,3.146,0.577,0.69,4.2,1.112,0.746,1,,,,,,,,,,,,1,,,,
94,J PALEONTOL,104,6454,20,25,1.628,1.711,0.74,0.71,2.6,0.817,0.585,,,,,,,,,,,1,,,,,,
95,J PLANT ECOL,94,2639,27,36,1.78,2.674,0.617,0.57,3.2,0.783,0.584,,1,,,,,,,,,,,,,,,
96,J QUAT SCI,98,4440,25,36,2.738,2.747,0.898,0.81,4.4,0.932,0.84,,,,,,,,,,,1,,,,,,
97,J RENEW SUST ENER,169,4680,34,47,2.847,2.427,0.473,0.33,4.7,0.714,0.545,,,,,,,,,,,,1,1,,,,
98,J SYST PALAEONTOL,47,1941,24,29,3.152,2.858,0.894,0.99,5.5,1.261,0.934,,,,,,,,,,,1,,,,,,
99,J VEG SCI,124,10230,34,41,3.389,3.699,0.661,0.92,4.5,1.234,0.945,,1,,,,,,,,,,,,,,,
100,J WILDL MANAG,120,12495,30,41,2.586,2.581,0.65,0.95,4.4,1.162,0.868,,1,,,,,,,,,,,,,,,
101,LANCET,256,403221,354,635,202.731,130.838,47.43,21.81,115.3,33.801,15.652,,,,,,,,1,,,,,,1,,,
102,LANCET GLOBAL HLTH,131,22156,115,216,38.927,35.214,10.908,8.37,41.8,11.557,8.845,,,,,,,,1,,,,,,1,,,1
103,LANCET PLANET HLTH,78,4794,66,114,28.75,30.188,5.603,3.99,20.5,5.784,3.389,,,,,,,,1,,,,,,1,,,1
104,LANDSCAPE ECOL,201,13472,48,67,5.043,5.586,0.876,1.09,6.3,1.356,1.166,,1,,,,,,,,,,,,,,,
105,LIMNOL OCEANOGR,264,34985,50,66,5.019,5.438,0.803,1.47,7.5,1.524,1.482,,,,,,1,,,,,,,,,,,
106,MAR BIOL,174,20778,32,43,2.941,2.837,0.741,0.85,4.3,1.006,0.779,,,,,,1,1,,,,,,,,,,
107,MAR ECOL PROG SER,371,44604,43,52,2.915,3.084,0.709,0.89,5.3,0.913,0.913,,,,,,1,1,,,,,,,,,,
108,MAR FRESHW RES,142,6928,31,48,2.358,2.277,0.641,0.76,3.8,0.836,0.623,,,,,,1,1,,,,,,,,,,
109,MAR POLLUT BULL,1252,63178,106,156,7.001,7.301,1.303,1.57,9.2,1.517,1.508,,,,,,1,,,,,,,,,,,
110,METHODS ECOL EVOL,243,24026,81,150,8.335,11.542,1.132,1.83,13.6,3.015,2.992,,1,,,1,,,,,,,,,,,,
111,MOLEC ECOL,468,45664,74,99,6.622,6.895,1.404,1.30,9.3,1.615,1.96,,1,,,,,,,,1,,,,,,,
112,MOLEC ECOL RESOUR,240,15145,71,105,8.678,8.984,1.483,1.62,11.7,2.598,2.496,,1,,,,,,,,1,,,,,,,
113,NAT CLIM CHANGE,134,43970,144,228,28.66,32.35,6.47,5.05,32.4,5.67,6.134,,,,,,,,,1,,,,1,,,,
114,NAT COMMUN,6938,604735,307,428,17.694,17.763,3.637,3.13,23.2,3.341,4.846,,,,,,,,1,1,,1,1,1,,,,1
115,NAT ECOL EVOL,145,15584,117,165,19.1,18.622,4.428,3.62,24.4,3.949,5.533,1,1,,,,,,,,,,,1,,,,
116,NAT ENERG,116,37355,170,314,67.439,72.478,11.802,8.08,78,8,16.736,,,,,,,,,,,,1,1,,,,
117,NAT GEN,155,120884,191,297,41.379,39.321,8.703,8.81,56.3,7.51,16.517,,,,,,,,,,1,,,,,,,
118,NAT HUM BEHAV,138,11204,104,185,24.252,23.411,8.232,4.75,19.2,7.735,5.205,,,,,,,,,,,,,1,,,,
119,NAT SUSTAIN,110,10711,95,155,27.157,28.224,4.455,3.88,30.7,5.415,5.789,,,,,,,,,,,,,1,,,1,
120,NATURE,1017,1008544,444,667,69.504,63.58,17.085,10.88,70.2,11.342,17.897,,,,,,,,1,1,,1,1,1,,,,
121,NEOBIOTA,68,1332,25,35,4.225,4.47,3.206,1.08,5.8,1.415,1.004,,1,1,,,,,,,,,,,,,,1
122,NEW PHYTOL,669,82714,115,154,10.323,10.768,1.991,2.29,15.7,2.68,3.009,,1,,1,,,,,,,,,,,,,
123,OECOLOGIA,269,37755,41,54,3.298,3.644,0.751,0.78,5.1,1.14,1.067,,1,,,,,,,,,,,,,,,
124,OIKOS,218,25612,45,60,4.254,3.988,0.601,1.01,6.1,1.391,1.46,,1,,,,,1,,,,,,,,,,
125,ONE EARTH,122,2215,39,60,14.944,14.952,2.943,1.71,5.6,2.282,1.829,1,1,,,,,,,,,,1,1,,,,
126,ORNITHOLOGY,NA,NA,27,36,NA,NA,NA,NA,5,1.031,0.969,,1,,,,,,,,,,,,,,,
127,ORYX,107,4403,33,39,2.957,3.093,1.607,0.81,4.6,1.071,0.729,1,,,,,,,,,,,,,,,,1
128,P NATL ACAD SCI USA,3608,860450,256,364,12.779,13.45,2.813,2.61,18.1,3.063,4.184,,,,,,,,1,1,,1,1,1,,,1,
129,P ROY SOC B-BIOL SCI,590,67725,82,105,5.53,6.03,1.319,1.27,8.3,1.738,1.987,,,,,,,,,1,,1,,1,,,,
130,PALAEOGEOGR PALAEOCLIM PALAEOECOL,533,32647,43,51,3.565,3.702,0.946,1.14,5.7,1.171,1.076,,,,,,,,,,,1,,,,,,
131,PALAEONTOLOGY,42,5578,26,36,3.547,3.543,0.69,1.49,6.6,1.469,1.36,,,,,,,,,,,1,,,,,,
132,PALEOBIOLOGY,42,4634,21,29,3.153,2.788,2,0.85,4.7,1.055,1.054,,,,,,,,,,,1,,,,,,
133,PEERJ,2086,39299,84,120,3.061,3.537,0.527,0.77,4.7,1.074,0.766,,,,,,,1,,1,,,,1,,,,1
134,PEOPLE NAT,121,1165,28,44,7.5,7.508,1.479,1.60,6.3,2.364,1.674,1,1,,,1,,,,,,,,1,,,,
135,PHIL TRANS R SOC B,355,62963,97,127,6.671,8.414,4.197,1.38,11.6,1.836,2.151,,,,,,,,,1,,,,,,,,
136,PLANT ECOL,107,7004,24,31,1.99,2.396,0.252,0.57,3.1,0.768,0.578,,1,,,,,,,,,,,,,,,
137,PLANT ECOL DIVER,27,1096,18,25,2.606,2.233,0.519,0.47,4.6,1.102,0.713,,1,,,,,,,,,,,,,,,
138,PLOS BIOL,303,44888,103,149,9.593,10.462,2.561,2.06,14.9,2.525,3.928,,,,,,,,1,1,,,,,,,,1
139,PLOS GEN,566,56584,85,110,6.02,6.514,1.106,1.34,9.3,1.507,2.7,,,,,,,,,,1,,,,,,,1
140,PLOS ONE,15430,944409,198,278,3.752,4.069,0.801,0.88,5.6,1.368,0.852,,,,,,1,1,1,1,,1,1,1,,,,1
141,POP ECOL,25,1577,17,28,2.367,2.309,1.04,0.48,4.5,1.047,0.863,,1,,,,,1,,,,,,,,,,
142,PSYCHOL BULL,40,68919,86,178,23.027,31.548,3.85,5.53,28.6,9.954,7.504,,,,,,,,,,,,,,,,1,
143,QUAT INT,477,21430,47,55,2.454,2.664,1.702,0.71,5.5,1.103,0.872,,,,,,,,,,,1,,,,,,
144,QUAT RES,95,8489,26,31,2.797,2.963,1.442,0.73,4.9,1.003,0.929,,,,,,,,,,,1,,,,,,
145,QUAT SCI REV,410,30365,56,71,4.456,5.003,1.049,1.16,7.3,1.504,1.694,,,,,,,,,,,1,,,,,,
146,R SOC OPEN SCI,659,14988,68,103,3.653,3.853,0.734,0.8,5.7,1.204,0.758,,,,,,,,,1,,,,,,,,1
147,RENEW ENERG,1981,95713,128,167,8.634,8.394,2.979,1.38,13.6,2.108,1.877,,,,,,,,,,,,1,1,,,,
148,RENEW SUST ENERG REV,1335,162005,227,324,16.799,17.551,4.461,1.26,28.5,4.535,3.678,,,,,,,,,,,,1,1,,,,
149,REPROD HEALTH,236,6209,56,82,3.355,4.035,0.703,0.89,5.2,1.802,1.042,,,,,,,,1,,,,,,1,,,1
150,RESTOR ECOL,260,8550,46,61,4.181,4.241,0.665,0.88,5.7,1.283,1.099,1,1,1,,,,,,,,,,1,,,,
151,RIVER RES APPL,144,5616,31,42,2.78,2.638,0.465,0.54,4.2,0.953,0.71,,,,,,1,,,,,,,,,,,
152,SCI ADV,1995,104068,197,294,14.972,16.895,3.019,2.94,18.5,3.039,4.586,,,,,,,,,1,,,,1,,,,1
153,SCI DATA,290,17754,97,152,8.501,11.211,1.531,1.84,12.6,3.402,2.468,,,,,,,,,1,,,,,,,,1
154,SCI REP,23363,696320,206,274,4.996,5.516,0.973,1.05,6.9,1.389,1.005,,,,,,,,,1,,1,1,1,,,,1
155,SCI TOTAL ENVIRON,9349,328228,225,311,10.753,10.237,2.95,1.78,14.1,2.175,1.806,,,,,,,,,1,,,1,1,,,,
156,SCIENCE,815,883834,401,614,63.798,59.924,16.358,10.16,57.8,9.116,14.589,,,,,,,,1,1,,1,1,1,,,,
157,STUD FAM PLANN,30,2204,24,43,4.314,4.396,0.167,1.14,4.2,1.613,1.028,,,,,,,,1,,,,,,1,,,
158,THEOR ECOL,33,936,16,23,1.798,1.794,0.515,0.43,2.6,0.829,0.629,,1,,,,,,,,,,,,,,,
159,TRENDS ECOL EVOL,92,44895,88,126,20.589,21.005,4.946,1.80,24.7,4.511,5.42,,1,,1,,,,,,,1,,,,,,
160,TROP CONSERV SCI,39,1524,25,37,1.721,2.238,0.513,0.39,3.6,0.863,0.553,1,,,,,,,,,,,,,,,,1
161,WILDL RES,79,4014,23,30,2.178,2.483,0.392,0.93,3.8,1.064,0.741,,1,,,,,,,,,,,,,,,
